Candidate,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE
"Arias, Marcelino",Labor Party Philippines,0,0.0,0.0,0.0,0.0,0.0,1506000.0,0.0,0.0,1506000.0,-1506000.0,0.0,194000.0,195000.0,20000.0,943000.0,30000.0,2000.0,50000.0,10000.0,1444000.0,10000.0,2000.0,50000.0,1506000.0,62000.0
"Baldevarona, Jonthan",Filipino Family Party,0,0.0,0.0,0.0,0.0,0.0,520398.88,0.0,0.0,520398.88,-520398.88,0.0,121101.82,0.0,14754.71,214073.8,0.0,0.0,170468.55,0.0,520398.88,0.0,0.0,0.0,520398.88,0.0
"Caceres, Jesus",independent,0,0.0,0.0,0.0,0.0,0.0,10578.0,0.0,0.0,10578.0,-10578.0,0.0,495.0,0.0,1295.0,8738.0,0.0,0.0,0.0,0.0,10528.0,0.0,0.0,0.0,10528.0,50.0
"Colmenares, Neri",Makabayan,0,3370000.0,0.0,500000.0,0.0,3870000.0,0.0,3775648.53,0.0,3775648.53,94351.47,0.0,283636.14,0.0,185214.69,1503230.0,0.0,0.0,0.0,1803567.7,3775648.53,0.0,0.0,0.0,3775648.53,0.0
"Diokno, Chel",Liberal Party,0,26055000.0,92715.0,0.0,0.0,26147715.0,185546.14,26147715.0,0.0,26333261.14,-185546.14,0.0,1172260.99,357667.54,416437.09,826884.87,0.0,91872.75,0.0,23468137.9,26333261.14,0.0,0.0,0.0,26333261.14,0.0
"Estrada, Jinggoy",Pwersa ng Masang Pilipino,0,0.0,14537339.93,0.0,78879946.56,93417286.49,110765407.64,0.0,14537339.93,125302747.57,-31885461.08,0.0,6991829.28,3590000.0,293363.96,235102.52,29200.0,596022.31,0.0,113567229.5,125302747.57,0.0,0.0,0.0,125302747.57,0.0
"Francisco, Elmer",Partido Federal ng Pilipinas,0,0.0,0.0,0.0,0.0,0.0,2911318.25,0.0,0.0,2911318.25,-2911318.25,0.0,34673.13,1396000.0,200.0,100000.0,601500.0,739687.56,10500.0,28757.56,2911318.25,0.0,0.0,0.0,2911318.25,0.0
"Guigayuma, Junbert",Labor Party Philippines/ Workers Party,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gutoc, Samira",Liberal Party,0,3200000.0,0.0,0.0,0.0,3200000.0,67212.82,3200000.0,0.0,3267212.82,-67212.82,0.0,97142.68,12420.0,20638.99,523820.0,0.0,81929.0,0.0,2531261.87,3267212.54,0.0,0.0,0.0,3267212.54,0.28
"Hilbay, Florin",Liberal Party,0,2379000.0,413508.0,0.0,0.0,2792508.0,181878.62,2379000.0,413508.0,2974386.62,-181878.62,0.0,823132.88,0.0,31319.5,1293440.0,0.0,234985.27,0.0,411508.97,2794386.62,0.0,0.0,0.0,2794386.62,180000.0
"Javellana, Rodolfo",Katipunan ,0,0.0,66050.0,0.0,0.0,66050.0,28855.85,0.0,0.0,28855.85,37194.15,0.0,5034.2,815.2,1800.0,67090.0,0.0,20166.3,0.0,0.0,94905.7,0.0,0.0,0.0,94905.7,-66049.85
"Macalintal, Romulo",Independent,0,0.0,0.0,0.0,0.0,0.0,8541839.31,0.0,0.0,8541839.31,-8541839.31,0.0,773844.82,62230.0,57802.24,899153.75,0.0,75000.0,8300.0,6665508.5,8541839.31,0.0,0.0,0.0,8541839.31,0.0
"Magundadatu, Zajid",Partido Demokratiko Pilipino - Lakas ng Bayan,0,0.0,21316822.46,0.0,0.0,21316822.46,109502291.61,0.0,0.0,109502291.61,-88185469.15,0.0,11857147.41,5864442.38,785460.35,1319358.65,0.0,1119723.51,866791.78,87689367.54,109502291.62,0.0,0.0,0.0,109502291.62,-0.01
"Manicad, Rodrigo",Independent,0,5775000.0,0.0,0.0,0.0,5775000.0,6557751.53,5775000.0,0.0,12332751.53,-6557751.53,0.0,248975.81,0.0,0.0,0.0,0.0,0.0,0.0,12083775.72,12332751.53,0.0,0.0,0.0,12332751.53,0.0
"Matula, Sonny",Workers and Peasants Party,0,102000.0,218441.91,0.0,0.0,320441.91,0.0,0.0,0.0,0.0,320441.91,0.0,70774.95,0.0,38673.0,140750.0,0.0,0.0,13446.73,236589.7,500234.38,0.0,0.0,0.0,500234.38,-500234.38
"Meniano, Luther",Labor Party of the Philippines/ Workers and Peasants Party,0,532509.28,0.0,0.0,0.0,532509.28,0.0,108696.98,0.0,108696.98,423812.3,0.0,9090.0,0.0,0.0,234.0,0.0,96563.02,2809.0,0.0,108696.02,0.0,0.0,0.0,108696.02,0.96
"Montano, Allan",Independent,0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,129195.0,-129195.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,129195.0,0.0
"Nalliw, Joan",Independent,0,0.0,0.0,0.0,0.0,0.0,299310.0,0.0,0.0,299310.0,-299310.0,0.0,60000.0,0.0,0.0,239310.0,0.0,0.0,0.0,0.0,299310.0,0.0,0.0,0.0,299310.0,0.0
"Ong, Willie",Lakas Mchristian Muslim Democrats,0,0.0,662764.29,0.0,0.0,662764.29,581283.21,0.0,662764.29,1244047.5,-581283.21,0.0,53484.2,105000.0,4299.01,408500.0,0.0,10000.0,0.0,0.0,581283.21,0.0,0.0,0.0,581283.21,662764.29
"Osmena, Sergio",Independent,0,97500000.0,0.0,0.0,0.0,97500000.0,8547137.33,97500000.0,0.0,106047137.33,-8547137.33,0.0,30631.03,710866.67,74679.21,2100618.0,0.0,0.0,0.0,103130342.42,106047137.33,0.0,0.0,0.0,106047137.33,0.0
"Enrile, Juan Ponce",Pwersa ng Masang Pilipino,0,0.0,0.0,0.0,0.0,0.0,83214696.37,0.0,0.0,83214696.37,-83214696.37,0.0,1052438.9,4084.0,600.0,1005627.56,0.0,21100.0,0.0,81130845.91,83214696.37,0.0,0.0,0.0,83214696.37,0.0
"Roleda, Danilo",United Nationalist Alliance,0,0.0,0.0,0.0,0.0,0.0,65607.35,0.0,0.0,65607.35,-65607.35,0.0,31976.45,0.0,0.0,0.0,0.0,0.0,0.0,33630.9,65607.35,0.0,0.0,0.0,65607.35,0.0
Roxas Manuel,Liberal Party,0,167050000.0,0.0,0.0,0.0,167050000.0,12143153.04,167050000.0,0.0,179193153.04,-12143153.04,0.0,1032500.05,300000.0,14998.0,349400.8,0.0,0.0,34000.0,77462254.19,79193153.04,0.0,0.0,0.0,79193153.04,100000000.0
Sahidulla Nur-ana Suhaili,Katipunan ,0,0.0,0.0,0.0,0.0,0.0,992346.77,0.0,0.0,992346.77,-992346.77,0.0,116998.72,265300.0,24342.5,45553.25,44000.0,0.0,83352.3,0.0,579546.77,112800.0,0.0,300000.0,992346.77,412800.0
"Tanada, Erin",Liberal Party,0,17000000.0,0.0,0.0,0.0,17000000.0,4299841.0,17000000.0,0.0,21299841.0,-4299841.0,0.0,166757.34,88400.0,51493.41,582037.5,0.0,16200.0,0.0,20349952.07,21254840.32,0.0,0.0,0.0,21254840.32,45000.68
